date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:10:05	654/654	---M-Z	200	added ('OK')	text/html	etag:W/%226066b265-28e%22	https://duha2001.github.io/TranThiBichNgoc/	C:/My%20Web%20Sites/souce%20code/duha2001.github.io/TranThiBichNgoc/index.html	(from )
06:10:05	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225e6d6874-239b%22	https://duha2001.github.io/robots.txt		(from )
06:10:05	4565/4565	---M-Z	200	added ('OK')	text/css	etag:W/%226066b265-11d5%22	https://duha2001.github.io/TranThiBichNgoc/CSS/mystyle.css	C:/My%20Web%20Sites/souce%20code/duha2001.github.io/TranThiBichNgoc/CSS/mystyle.css	(from https://duha2001.github.io/TranThiBichNgoc/)
06:10:06	568536/568536	---M--	200	added ('OK')	image/png	etag:%226066b265-8acd8%22	https://duha2001.github.io/TranThiBichNgoc/images/bg1.png	C:/My%20Web%20Sites/souce%20code/duha2001.github.io/TranThiBichNgoc/images/bg1.png	(from https://duha2001.github.io/TranThiBichNgoc/)
06:10:08	505033/505033	---M--	200	added ('OK')	image/jpeg	etag:%226066b265-7b4c9%22	https://duha2001.github.io/TranThiBichNgoc/images/minbox.jpg	C:/My%20Web%20Sites/souce%20code/duha2001.github.io/TranThiBichNgoc/images/minbox.jpg	(from https://duha2001.github.io/TranThiBichNgoc/CSS/mystyle.css)
06:10:08	2970492/2970492	---M--	200	added ('OK')	audio/mp3	etag:%226066b265-2d537c%22	https://duha2001.github.io/TranThiBichNgoc/music/nhac.mp3	C:/My%20Web%20Sites/souce%20code/duha2001.github.io/TranThiBichNgoc/music/nhac.mp3	(from https://duha2001.github.io/TranThiBichNgoc/)
06:10:08	470598/470598	---M--	200	added ('OK')	image/jpeg	etag:%226066b265-72e46%22	https://duha2001.github.io/TranThiBichNgoc/images/minbox2.jpg	C:/My%20Web%20Sites/souce%20code/duha2001.github.io/TranThiBichNgoc/images/minbox2.jpg	(from https://duha2001.github.io/TranThiBichNgoc/CSS/mystyle.css)
06:10:08	943118/943118	---M--	200	added ('OK')	image/jpeg	etag:%226066b265-e640e%22	https://duha2001.github.io/TranThiBichNgoc/images/minbox3.jpg	C:/My%20Web%20Sites/souce%20code/duha2001.github.io/TranThiBichNgoc/images/minbox3.jpg	(from https://duha2001.github.io/TranThiBichNgoc/CSS/mystyle.css)
06:10:09	406143/406143	---M--	200	added ('OK')	image/jpeg	etag:%226066b265-6327f%22	https://duha2001.github.io/TranThiBichNgoc/images/minbox4.jpg	C:/My%20Web%20Sites/souce%20code/duha2001.github.io/TranThiBichNgoc/images/minbox4.jpg	(from https://duha2001.github.io/TranThiBichNgoc/CSS/mystyle.css)
06:10:09	545808/545808	---M--	200	added ('OK')	image/jpeg	etag:%226066b265-85410%22	https://duha2001.github.io/TranThiBichNgoc/images/minbox5.jpg	C:/My%20Web%20Sites/souce%20code/duha2001.github.io/TranThiBichNgoc/images/minbox5.jpg	(from https://duha2001.github.io/TranThiBichNgoc/CSS/mystyle.css)
06:10:09	376620/376620	---M--	200	added ('OK')	image/jpeg	etag:%226066b265-5bf2c%22	https://duha2001.github.io/TranThiBichNgoc/images/minbox6.jpg	C:/My%20Web%20Sites/souce%20code/duha2001.github.io/TranThiBichNgoc/images/minbox6.jpg	(from https://duha2001.github.io/TranThiBichNgoc/CSS/mystyle.css)
06:10:10	328639/328639	---M--	200	added ('OK')	image/jpeg	etag:%226066b265-503bf%22	https://duha2001.github.io/TranThiBichNgoc/images/maxbox.jpg	C:/My%20Web%20Sites/souce%20code/duha2001.github.io/TranThiBichNgoc/images/maxbox.jpg	(from https://duha2001.github.io/TranThiBichNgoc/CSS/mystyle.css)
06:10:10	464345/464345	---M--	200	added ('OK')	image/jpeg	etag:%226066b265-715d9%22	https://duha2001.github.io/TranThiBichNgoc/images/maxbox2.jpg	C:/My%20Web%20Sites/souce%20code/duha2001.github.io/TranThiBichNgoc/images/maxbox2.jpg	(from https://duha2001.github.io/TranThiBichNgoc/CSS/mystyle.css)
06:10:10	466126/466126	---M--	200	added ('OK')	image/jpeg	etag:%226066b265-71cce%22	https://duha2001.github.io/TranThiBichNgoc/images/maxbox3.jpg	C:/My%20Web%20Sites/souce%20code/duha2001.github.io/TranThiBichNgoc/images/maxbox3.jpg	(from https://duha2001.github.io/TranThiBichNgoc/CSS/mystyle.css)
06:10:10	369188/369188	---M--	200	added ('OK')	image/jpeg	etag:%226066b265-5a224%22	https://duha2001.github.io/TranThiBichNgoc/images/maxbox4.jpg	C:/My%20Web%20Sites/souce%20code/duha2001.github.io/TranThiBichNgoc/images/maxbox4.jpg	(from https://duha2001.github.io/TranThiBichNgoc/CSS/mystyle.css)
06:10:11	420003/420003	---M--	200	added ('OK')	image/jpeg	etag:%226066b265-668a3%22	https://duha2001.github.io/TranThiBichNgoc/images/maxbox5.jpg	C:/My%20Web%20Sites/souce%20code/duha2001.github.io/TranThiBichNgoc/images/maxbox5.jpg	(from https://duha2001.github.io/TranThiBichNgoc/CSS/mystyle.css)
06:10:11	430178/430178	---M--	200	added ('OK')	image/jpeg	etag:%226066b265-69062%22	https://duha2001.github.io/TranThiBichNgoc/images/maxbox6.jpg	C:/My%20Web%20Sites/souce%20code/duha2001.github.io/TranThiBichNgoc/images/maxbox6.jpg	(from https://duha2001.github.io/TranThiBichNgoc/CSS/mystyle.css)
